name,data_id,nsin,isin,initial_fee,ongoing_charges,capitalization,type,investment_focus,volume,performance_cy,performance_1y,performance_3y,performance_5y,volatility_cy,volatility_1y,volatility_3y,volatility_5y,max_drawdown_cy,max_drawdown_1y,max_drawdown_3y,max_drawdown_5y,months_positive_cy,capitalization_amount,capitalization_currency,performance_1m,performance_6m,volatility_1m,outperformance_3m,outperformance_1y
RAIFFEISEN-NACHHALTIGKEIT-MOMENTUM-R-EUR-Fonds-AT0000A20EY5,217247116,A2JHVQ,AT0000A20EY5,4.0,1.62,Vollthesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",269.35,-0.51,7.16,,,11.79,27.44,,,-3.42,-34.6,,,,,,,,,,
FIDELITY-FUNDS-SUSTAINABLE-GLOBAL-EQUITY-FUND-Y-EUR-ACC-Fonds-LU1808853318,216656880,A2JJ5H,LU1808853318,0,1.09,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",214.23,-0.88,-2.89,,,11.5,21.4,,,-3.64,-27.58,,,,,,,,,,
NORDEA-1-GLOBAL-CLIMATE-AND-ENVIRONMENT-FUND-HBI-CHF-ACC-H-Fonds-LU0772916010,217612149,A2JJ6N,LU0772916010,0.0,0.93,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",6.17,1.8,17.58,,,19.12,27.16,,,-4.95,-32.61,,,,,,,,,,
VONTOBEL-FUND-MTX-SUSTAINABLE-EMERGING-MARKETS-LEADERS-N-USD-ACC-Fonds-LU1626216961,216461274,A2JKE4,LU1626216961,5.0,1.2,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",7.89,2.89,11.32,21.79,,19.29,25.26,19.31,,-6.23,-29.28,-30.59,,,,,,,,,
THEAM-QUANT-EQUITY-WORLD-GLOBAL-GOALS-C-USD-ACC-Fonds-LU1685643683,216753184,A2JKE9,LU1685643683,3.0,1.7,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",73.7,0.84,-0.45,,,13.53,30.71,,,-3.84,-37.13,,,,,,,,,,
THEAM-QUANT-EQUITY-WORLD-GLOBAL-GOALS-C-USD-DIS-Fonds-LU1685643766,216753186,A2JKFA,LU1685643766,3.0,1.7,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",73.7,0.83,-0.45,,,13.56,30.72,,,-3.85,-37.13,,,,,,,,,,
THEAM-QUANT-EQUITY-WORLD-GLOBAL-GOALS-I-USD-ACC-Fonds-LU1685644657,216753188,A2JKFB,LU1685644657,0.0,0.76,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",73.7,0.91,0.47,,,13.54,30.72,,,-3.83,-37.06,,,,,,,,,,
THEAM-QUANT-EQUITY-WORLD-GLOBAL-GOALS-PRIVILEGE-USD-DIS-Fonds-LU1685644491,216753190,A2JKFC,LU1685644491,3.0,0.95,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",73.7,0.89,0.31,,,13.53,30.73,,,-3.83,-37.08,,,,,,,,,,
VONTOBEL-FUND-MTX-SUSTAINABLE-ASIAN-LEADERS-EX-JAPAN-NG-USD-ACC-Fonds-LU1806329998,216814266,A2JKJF,LU1806329998,5.0,0.94,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.4,7.27,26.72,,,21.01,22.91,,,-6.52,-25.85,,,100.0,,,,,,,
VONTOBEL-FUND-CLEAN-TECHNOLOGY-H-USD-ACC-H-Fonds-LU1618348079,216814309,A2JKKQ,LU1618348079,5.0,2.11,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.12,1.59,15.7,56.23,,19.52,28.77,19.94,,-5.48,-32.91,-32.91,,,,,,,,,
VONTOBEL-FUND-CLEAN-TECHNOLOGY-N-GBP-ACC-Fonds-LU1618348236,216814311,A2JKKR,LU1618348236,5.0,0.98,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.12,0.65,27.13,48.72,,20.53,27.4,19.65,,-6.57,-24.7,-24.7,,,,,,,,,
VONTOBEL-FUND-CLEAN-TECHNOLOGY-C-EUR-ACC-Fonds-LU1651443175,216814312,A2JKKS,LU1651443175,5.0,2.65,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.12,0.83,25.24,41.52,,19.55,28.69,19.9,,-5.52,-32.99,-32.99,,,,,,,,,
VONTOBEL-FUND-CLEAN-TECHNOLOGY-N-CHF-ACC-Fonds-LU1683484957,216814314,A2JKKT,LU1683484957,5.0,1.23,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.12,0.88,26.89,48.05,,20.59,29.67,20.85,,-5.15,-33.16,-33.16,,,,,,,,,
VONTOBEL-FUND-CLEAN-TECHNOLOGY-AN-EUR-DIS-Fonds-LU1683485178,216814315,A2JKKU,LU1683485178,5.0,1.23,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.12,0.95,27.03,47.68,,19.56,28.68,19.85,,-5.5,-32.91,-32.91,,,,,,,,,
VONTOBEL-FUND-CLEAN-TECHNOLOGY-HN-CHF-ACC-H-Fonds-LU1683485095,216814317,A2JKKV,LU1683485095,5.0,1.29,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.12,0.94,25.54,56.42,,19.58,28.69,19.86,,-5.51,-32.94,-32.94,,,,,,,,,
VONTOBEL-FUND-CLEAN-TECHNOLOGY-HN-USD-ACC-H-Fonds-LU1683485251,216814319,A2JKKW,LU1683485251,5.0,1.29,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.12,1.65,16.67,60.35,,19.56,28.75,19.93,,-5.48,-32.84,-32.84,,,,,,,,,
VONTOBEL-FUND-CLEAN-TECHNOLOGY-AN-CHF-DIS-Fonds-LU1683484874,216814321,A2JKKX,LU1683484874,5.0,1.23,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.12,0.89,26.9,48.07,,20.57,29.59,20.78,,-5.15,-33.17,-33.17,,,,,,,,,
VONTOBEL-FUND-MTX-SUSTAINABLE-ASIAN-LEADERS-EX-JAPAN-HN-EUR-ACC-H-Fonds-LU1683482589,216814407,A2JKM6,LU1683482589,5.0,1.27,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.4,5.95,35.57,15.06,,21.04,22.89,19.5,,-6.56,-26.07,-33.82,,100.0,,,,,,,
